Date,store,time_measure,Total Cars,menu_all,greet_all,Menu Board,Greet,Menu 1,Greet 1,Menu 2,Greet 2,service,lane_queue,lane_total
2025-09-06,343939 Mt.Joy,Daypart 2,166.0,30.0,2.0,30.0,2.0,0.0,0.0,0.0,0.0,52.0,45.0,127.0
2025-09-06,343939 Mt.Joy,Daypart 3,158.0,38.0,3.0,38.0,3.0,0.0,0.0,0.0,0.0,57.0,66.0,162.0
2025-09-06,343939 Mt.Joy,Daypart 4,51.0,29.0,4.0,29.0,4.0,0.0,0.0,0.0,0.0,76.0,63.0,169.0
2025-09-06,343939 Mt.Joy,Daypart 5,19.0,30.0,2.0,30.0,2.0,0.0,0.0,0.0,0.0,92.0,21.0,144.0
2025-09-06,357993 Enola,Daypart 1,6.0,24.0,3.0,24.0,3.0,0.0,0.0,0.0,0.0,37.0,13.0,75.0
2025-09-06,357993 Enola,Daypart 2,216.0,32.0,1.0,32.0,1.0,0.0,0.0,0.0,0.0,44.0,56.0,133.0
2025-09-06,357993 Enola,Daypart 3,202.0,38.0,2.0,38.0,2.0,0.0,0.0,0.0,0.0,49.0,72.0,160.0
2025-09-06,357993 Enola,Daypart 4,80.0,39.0,10.0,39.0,10.0,0.0,0.0,0.0,0.0,78.0,52.0,169.0
2025-09-06,357993 Enola,Daypart 5,17.0,41.0,7.0,41.0,7.0,0.0,0.0,0.0,0.0,91.0,46.0,177.0
2025-09-06,358529 Columbia,Daypart 2,214.0,38.0,8.0,38.0,8.0,0.0,0.0,0.0,0.0,53.0,86.0,177.0
2025-09-06,358529 Columbia,Daypart 3,168.0,48.0,11.0,48.0,11.0,0.0,0.0,0.0,0.0,72.0,114.0,233.0
2025-09-06,358529 Columbia,Daypart 4,74.0,42.0,7.0,42.0,7.0,0.0,0.0,0.0,0.0,107.0,142.0,289.0
2025-09-06,358529 Columbia,Daypart 5,24.0,42.0,4.0,42.0,4.0,0.0,0.0,0.0,0.0,109.0,68.0,219.0
2025-09-06,359042 LITITZ,Daypart 2,175.0,34.0,3.0,34.0,3.0,0.0,0.0,0.0,0.0,59.0,117.0,210.0
2025-09-06,359042 LITITZ,Daypart 3,135.0,42.0,9.0,42.0,9.0,0.0,0.0,0.0,0.0,68.0,131.0,242.0
2025-09-06,359042 LITITZ,Daypart 4,45.0,37.0,6.0,37.0,6.0,0.0,0.0,0.0,0.0,85.0,36.0,159.0
2025-09-06,359042 LITITZ,Daypart 5,8.0,29.0,2.0,29.0,2.0,0.0,0.0,0.0,0.0,95.0,13.0,139.0
2025-09-06,363271 Marietta,Daypart 2,170.0,27.0,2.0,0.0,0.0,27.0,2.0,0.0,0.0,53.0,51.0,132.0
2025-09-06,363271 Marietta,Daypart 3,115.0,40.0,4.0,0.0,0.0,40.0,4.0,0.0,0.0,71.0,87.0,197.0
2025-09-06,363271 Marietta,Daypart 4,62.0,51.0,5.0,0.0,0.0,51.0,5.0,0.0,0.0,92.0,33.0,176.0
2025-09-06,363271 Marietta,Daypart 5,8.0,68.0,3.0,0.0,0.0,68.0,3.0,0.0,0.0,90.0,22.0,172.0
2025-09-06,364322 elizabethtown,Daypart 2,217.0,35.0,2.0,35.0,2.0,0.0,0.0,0.0,0.0,50.0,65.0,168.0
2025-09-06,364322 elizabethtown,Daypart 3,181.0,31.0,2.0,31.0,2.0,0.0,0.0,0.0,0.0,52.0,53.0,153.0
2025-09-06,364322 elizabethtown,Daypart 4,58.0,35.0,4.0,35.0,4.0,0.0,0.0,0.0,0.0,77.0,22.0,137.0
2025-09-06,364322 elizabethtown,Daypart 5,22.0,65.0,5.0,65.0,5.0,0.0,0.0,0.0,0.0,101.0,38.0,209.0
