Date,store,time_measure,Total Cars,menu_all,greet_all,Menu Board,Greet,Menu 1,Greet 1,Menu 2,Greet 2,service,lane_queue,lane_total
2025-09-14,343939 Mt.Joy,Daypart 2,141.0,33.0,2.0,33.0,2.0,0.0,0.0,0.0,0.0,46.0,35.0,114.0
2025-09-14,343939 Mt.Joy,Daypart 3,136.0,38.0,3.0,38.0,3.0,0.0,0.0,0.0,0.0,61.0,68.0,169.0
2025-09-14,343939 Mt.Joy,Daypart 4,45.0,37.0,7.0,37.0,7.0,0.0,0.0,0.0,0.0,106.0,50.0,194.0
2025-09-14,343939 Mt.Joy,Daypart 5,8.0,33.0,3.0,33.0,3.0,0.0,0.0,0.0,0.0,122.0,8.0,164.0
2025-09-14,357993 Enola,Daypart 1,2.0,26.0,2.0,26.0,2.0,0.0,0.0,0.0,0.0,80.0,13.0,120.0
2025-09-14,357993 Enola,Daypart 2,184.0,33.0,4.0,33.0,4.0,0.0,0.0,0.0,0.0,50.0,57.0,141.0
2025-09-14,357993 Enola,Daypart 3,194.0,37.0,6.0,37.0,6.0,0.0,0.0,0.0,0.0,53.0,85.0,175.0
2025-09-14,357993 Enola,Daypart 4,62.0,35.0,4.0,35.0,4.0,0.0,0.0,0.0,0.0,68.0,31.0,134.0
2025-09-14,357993 Enola,Daypart 5,9.0,35.0,3.0,35.0,3.0,0.0,0.0,0.0,0.0,94.0,8.0,138.0
2025-09-14,358529 Columbia,Daypart 2,163.0,48.0,10.0,48.0,10.0,0.0,0.0,0.0,0.0,70.0,139.0,257.0
2025-09-14,358529 Columbia,Daypart 3,132.0,68.0,21.0,68.0,21.0,0.0,0.0,0.0,0.0,91.0,192.0,348.0
2025-09-14,358529 Columbia,Daypart 4,60.0,50.0,19.0,50.0,19.0,0.0,0.0,0.0,0.0,134.0,117.0,301.0
2025-09-14,358529 Columbia,Daypart 5,11.0,32.0,10.0,32.0,10.0,0.0,0.0,0.0,0.0,163.0,69.0,262.0
2025-09-14,359042 LITITZ,Daypart 2,122.0,36.0,6.0,36.0,6.0,0.0,0.0,0.0,0.0,63.0,109.0,208.0
2025-09-14,359042 LITITZ,Daypart 3,126.0,63.0,14.0,63.0,14.0,0.0,0.0,0.0,0.0,87.0,114.0,262.0
2025-09-14,359042 LITITZ,Daypart 4,51.0,48.0,8.0,48.0,8.0,0.0,0.0,0.0,0.0,86.0,86.0,221.0
2025-09-14,359042 LITITZ,Daypart 5,11.0,66.0,4.0,66.0,4.0,0.0,0.0,0.0,0.0,167.0,45.0,267.0
2025-09-14,363271 Marietta,Daypart 2,151.0,39.0,3.0,0.0,0.0,39.0,3.0,0.0,0.0,70.0,90.0,197.0
2025-09-14,363271 Marietta,Daypart 3,139.0,49.0,3.0,0.0,0.0,49.0,3.0,0.0,1.0,75.0,111.0,231.0
2025-09-14,363271 Marietta,Daypart 4,42.0,33.0,4.0,0.0,0.0,33.0,4.0,0.0,0.0,73.0,43.0,150.0
2025-09-14,363271 Marietta,Daypart 5,12.0,42.0,3.0,0.0,0.0,42.0,3.0,0.0,0.0,94.0,13.0,146.0
2025-09-14,364322 elizabethtown,Daypart 2,177.0,31.0,2.0,31.0,2.0,0.0,0.0,0.0,0.0,52.0,61.0,160.0
2025-09-14,364322 elizabethtown,Daypart 3,195.0,35.0,3.0,35.0,3.0,0.0,0.0,0.0,0.0,57.0,79.0,193.0
2025-09-14,364322 elizabethtown,Daypart 4,59.0,44.0,4.0,44.0,4.0,0.0,0.0,0.0,0.0,75.0,25.0,145.0
2025-09-14,364322 elizabethtown,Daypart 5,14.0,32.0,5.0,32.0,5.0,0.0,0.0,0.0,0.0,48.0,8.0,89.0
