Date,store,time_measure,Total Cars,menu_all,greet_all,Menu Board,Greet,Menu 1,Greet 1,Menu 2,Greet 2,service,lane_queue,lane_total
2025-09-07,343939 Mt.Joy,Daypart 2,149.0,32.0,3.0,32.0,3.0,0.0,0.0,0.0,0.0,51.0,60.0,144.0
2025-09-07,343939 Mt.Joy,Daypart 3,132.0,44.0,4.0,44.0,4.0,0.0,0.0,0.0,0.0,69.0,82.0,195.0
2025-09-07,343939 Mt.Joy,Daypart 4,40.0,28.0,4.0,28.0,4.0,0.0,0.0,0.0,0.0,114.0,26.0,169.0
2025-09-07,343939 Mt.Joy,Daypart 5,12.0,30.0,2.0,30.0,2.0,0.0,0.0,0.0,0.0,65.0,7.0,103.0
2025-09-07,357993 Enola,Daypart 1,3.0,23.0,4.0,23.0,4.0,0.0,0.0,0.0,0.0,114.0,9.0,147.0
2025-09-07,357993 Enola,Daypart 2,194.0,31.0,2.0,31.0,2.0,0.0,0.0,0.0,0.0,50.0,58.0,139.0
2025-09-07,357993 Enola,Daypart 3,210.0,35.0,2.0,35.0,2.0,0.0,0.0,0.0,0.0,48.0,61.0,145.0
2025-09-07,357993 Enola,Daypart 4,72.0,42.0,5.0,42.0,5.0,0.0,0.0,0.0,0.0,73.0,36.0,151.0
2025-09-07,357993 Enola,Daypart 5,13.0,37.0,3.0,37.0,3.0,0.0,0.0,0.0,0.0,98.0,21.0,157.0
2025-09-07,358529 Columbia,Daypart 2,154.0,40.0,9.0,40.0,9.0,0.0,0.0,0.0,0.0,76.0,107.0,221.0
2025-09-07,358529 Columbia,Daypart 3,124.0,67.0,11.0,67.0,11.0,0.0,0.0,0.0,0.0,101.0,168.0,334.0
2025-09-07,358529 Columbia,Daypart 4,52.0,58.0,12.0,58.0,12.0,0.0,0.0,0.0,0.0,141.0,80.0,279.0
2025-09-07,358529 Columbia,Daypart 5,22.0,48.0,4.0,48.0,4.0,0.0,0.0,0.0,0.0,162.0,134.0,345.0
2025-09-07,359042 LITITZ,Daypart 2,158.0,27.0,3.0,27.0,3.0,0.0,0.0,0.0,0.0,56.0,86.0,170.0
2025-09-07,359042 LITITZ,Daypart 3,151.0,53.0,8.0,53.0,8.0,0.0,0.0,0.0,0.0,71.0,119.0,244.0
2025-09-07,359042 LITITZ,Daypart 4,54.0,55.0,13.0,55.0,13.0,0.0,0.0,0.0,0.0,103.0,43.0,200.0
2025-09-07,359042 LITITZ,Daypart 5,13.0,40.0,3.0,40.0,3.0,0.0,0.0,0.0,0.0,126.0,17.0,183.0
2025-09-07,363271 Marietta,Daypart 2,140.0,31.0,4.0,0.0,0.0,31.0,4.0,0.0,0.0,64.0,64.0,158.0
2025-09-07,363271 Marietta,Daypart 3,151.0,40.0,3.0,0.0,0.0,40.0,3.0,2.0,2.0,67.0,93.0,200.0
2025-09-07,363271 Marietta,Daypart 4,41.0,38.0,6.0,0.0,0.0,38.0,6.0,0.0,0.0,99.0,24.0,159.0
2025-09-07,363271 Marietta,Daypart 5,13.0,35.0,3.0,0.0,0.0,35.0,3.0,0.0,0.0,80.0,8.0,125.0
2025-09-07,364322 elizabethtown,Daypart 2,177.0,33.0,2.0,33.0,2.0,0.0,0.0,0.0,0.0,52.0,54.0,156.0
2025-09-07,364322 elizabethtown,Daypart 3,171.0,49.0,3.0,49.0,3.0,0.0,0.0,0.0,0.0,67.0,103.0,245.0
2025-09-07,364322 elizabethtown,Daypart 4,71.0,30.0,3.0,30.0,3.0,0.0,0.0,0.0,0.0,61.0,27.0,122.0
2025-09-07,364322 elizabethtown,Daypart 5,19.0,36.0,3.0,36.0,3.0,0.0,0.0,0.0,0.0,78.0,32.0,162.0
